Key,English,Context / Alternate Text,german,latam,french,italian,japanese
quest_BasicSurvival1a_subtitle,Gather Logs and Wood,,,,,,丸太と木材を集める
quest_BasicSurvival1a_description,Wood is an important part of creating items and building materials. To gather wood attack a tree. You will receive logs. These wood logs can be crafted into wood. Wood has many purposes including the ability to make it into sticks and planks. You can also gather sticks by attacking small stick bushes in the world.,,,,,,木材は、アイテムや建材を作るのに重要な役割を果たします。木材を集めるには、木を攻撃します。すると丸太を得ることができます。そしてこの丸太を加工して木材を作ることができます。木材は、棒や板にすることができるなど、様々な用途があります。棒は、ワールド内の小さな棒の茂みを攻撃して集めることもできます。
quest_BasicSurvival1c_subtitle,Acquire Your Class Paper,,,,,,クラスペーパーを手に入れる
quest_BasicSurvival1c_description,Your class paper is extremely vital to defending against the undead. Opening your starter kit also provides you with basic items to survive. Read your starter kit note and acquire your class paper. Use the Persoanl Bench to craft a class and read it to gain skills and a weapon.,,,,,,クラスペーパーは、死者たちから身を守るために非常に重要です。また、スターターキットを開封することで、生き延びるための基本的なアイテムを手に入れることができます。スターターキットのメモを読み、クラスペーパーを手に入れましょう。個人用作業台を使ってクラスを作成し、それを読むことでスキルや武器を得ることができます。
quest_BasicSurvival2a_subtitle,Craft A Stone Pickaxe,,,,,,石のつるはしをクラフトする
quest_BasicSurvival2a_description,A stone axe is great for breaking down wood doors and trees but it will not get the job done when you need to break something made of stone or metal. Craft a stone pickaxe. Using it you can mine basic starter resources from boulders. As you gain access to better tiered pickaxes you will find you can mine for better resources.,,,,,,石斧は木の扉や木を壊すのには適していますが、石や金属でできたものを壊すのには適していません。石のつるはしを作りましょう。このツルハシを使って、スターターの基本的な資源を岩石から採掘することができます。より良いレベルのつるはしを手に入れると、より良い資源を採掘できるようになります。
quest_BasicSurvival2b_subtitle,Collect Some Ore,,,,,,鉱物を集める
quest_BasicSurvival2b_description,Use your stone pickaxe and find a boulder. Mining this boulder will give you some small traces of ore. You may have to hit 2. Other pickaxes will give you more precious metal. Underground mining will yield resources like limestone for cement.,,,,,,石のつるはしを用意して、石の塊を見つけます。この塊を採掘すると、小さな鉱石のかけらが出てきます。2回叩く必要があるかもしれません。他のつるはしを使うと、より多くの貴金属が得られます。地下を掘ると、セメント用の石灰石などの資源が得られます。
quest_BasicSurvival6a_subtitle,Find Storage,,,,,,収納場所を探す
quest_BasicSurvival6a_description,"The trash you see in the streets is not only useful for things like twine, but they can also be used to store your items. For every 3 trash bags you collect you can make a bigger trash bag and store stuff inside. Find 3 bags and collect them by destroying them.",,,,,,"街中で見かけるゴミは、紐などに使えるだけでなく、アイテムの収納にも使えます。ゴミ袋を3つ集めるごとに、より大きなゴミ袋を作り、中に物を入れることができます。3つのゴミ袋を見つけて、破壊して集めましょう。"
