Key,Source,Context,English
lblContextActionCrush,UI,Item Context Menu,Crush
lbliron,UI,XUI,[A6A09E]Iron[-]
lblbrass,UI,XUI,[EDD079]Brass[-]
lbllead,UI,XUI,[AEACA8]Lead[-]
lblglass,UI,XUI,[E5EDEC]Glass[-]
lblstone,UI,XUI,[BBC2CB]Stone[-]
lblclay,UI,XUI,[B8C5BE]Clay[-]
lblcopper,UI,XUI,[E89267]Copper[-]
lblzinc,UI,XUI,[B3B6BB]Zinc[-]
forgeInputCopper,UI,Menu,Copper
forgeInputZinc,UI,Menu,Zinc
lblcarbon,UI,XUI,[E89267]Carbon[-]
lblaluminum,UI,XUI,[B3B6BB]Aluminum[-]
forgeInputCarbon,UI,Menu,Carbon
forgeInputAluminum,UI,Menu,Aluminum
lblchromium,UI,XUI,[E89267]Chromium[-]
lbltungsten,UI,XUI,[B3B6BB]Tungsten[-]
forgeInputChromium,UI,Menu,Chromium
forgeInputTungsten,UI,Menu,Tungsten


terrOreCopper,blocks,Terrain,Copper Ore
terrOreZinc,blocks,Terrain,Zinc Ore
terrOreStoneCopperRandom,blocks,Terrain,= Copper Vein = Helper
terrOreStoneCopperRandomDesc,blocks,Terrain,Copper / Stone / Sandstone

terrOreCarbon,blocks,Terrain,Carbon Ore
terrOreStoneCarbonRandom,blocks,Terrain,= Carbon Vein = Helper
terrOreStoneCarbonRandomDesc,blocks,Terrain,Carbon / Stone / Sandstone

terrOreChromium,blocks,Terrain,Chromium Ore
terrOreStoneChromiumRandom,blocks,Terrain,= Chromium Vein = Helper
terrOreStoneChromiumRandomDesc,blocks,Terrain,Chromium / Stone / Sandstone

terrOreAluminum,blocks,Terrain,Aluminum Ore
terrOreStoneAluminumRandom,blocks,Terrain,= Aluminum Vein = Helper
terrOreStoneAluminumRandomDesc,blocks,Terrain,Aluminum / Stone / Sandstone

terrOreTungsten,blocks,Terrain,Tungsten Ore
terrOreStoneTungstenRandom,blocks,Terrain,= Tungsten Vein = Helper
terrOreStoneTungstenRandomDesc,blocks,Terrain,Tungsten / Stone / Sandstone

terrOreStoneZincRandom,blocks,Terrain,= Zinc Vein = Helper
terrOreStoneZincRandomDesc,blocks,Terrain,Zinc / Stone / Sandstone

oreCopperBoulder,blocks,Block,Copper Ore Boulder
oreZincBoulder,blocks,Block,Zinc Ore Boulder
oreCarbonBoulder,blocks,Block,Carbon Ore Boulder
oreAluminumBoulder,blocks,Block,Aluminum Ore Boulder
oreTungstenBoulder,blocks,Block,Tungsten Ore Boulder
oreChromiumBoulder,blocks,Block,Chromium Ore Boulder
