Key,Source,Context,English,Context / Alternate Text,german,latam,french,italian,japanese
pottedPlant01RH,blocks,Block,Potted Plant 01,,,,,,"鉢植え01"
pottedPlant02RH,blocks,Block,Potted Plant 02,,,,,,"鉢植え02"
pottedPlant03RH,blocks,Block,Potted Plant 03,,,,,,"鉢植え03"
pottedPlant04RH,blocks,Block,Potted Plant 04,,,,,,"鉢植え04"
gardenFlower01RH,blocks,Block,Garden Flower 01,,,,,,"ガーデンフラワー01"
gardenFlower02RH,blocks,Block,Garden Flower 02,,,,,,"ガーデンフラワー02"
gardenFlower03RH,blocks,Block,Garden Flower 03,,,,,,"ガーデンフラワー03"
gardenFlower04RH,blocks,Block,Garden Flower 04,,,,,,"ガーデンフラワー04"
gardenFlower05RH,blocks,Block,Garden Flower 05,,,,,,"ガーデンフラワー05"
pottedPlantRandomLootHelperRH,blocks,Block,= RH Potted Plant = Random Helper,,,,,,"= RH 鉢植え = Random Helper"
gardenFlowerRandomLootHelperRH,blocks,Block,= Garden Flower = Random Helper,,,,,,"= RH ガーデンフラワー = Random Helper"
gardenFlower02RH,blocks,Block,Garden Flower 02,,,,,,"ガーデンフラワー02"
treePlant02RH,blocks,Block,Potted Plant,,,,,,"鉢植え"
