Key,Source,Context,English,Context / Alternate Text,german,latam,french,italian,japanese
trapsBeerTrapEmptyRH,blocks,Block,Insect Trap (Beer),,,,,,"捕虫器（ビール）"
trapsBeerTrapEmptyRHDesc,blocks,Block,Fill With Beer To Collect Insects,,,,,,"虫を捕まえるためにはビールを満たしてください"
trapsBeerTrapCollectingRH,blocks,Block,Insect Trap (Beer),,,,,,"捕虫器（ビール）"
trapsBeerTrapCollectingRHDesc,blocks,Block,Catching Insects,,,,,,"虫を捕まえています"
trapsBeerTrapFullRH,blocks,Block,Insect Trap (Full),,,,,,"捕虫器（満杯）"
trapsBeerTrapFullRHDesc,blocks,Block,You Caught Some Insects,,,,,,"虫を捕まえることができました"
trapsHoneyTrapEmptyRH,blocks,Block,Insect Trap (Honey),,,,,,"捕虫器（蜂蜜）"
trapsHoneyTrapEmptyRHDesc,blocks,Block,Fill With Honey To Collect Insects,,,,,,"虫を捕まえるためには蜂蜜を満たしてください"
trapsHoneyTrapCollectingRH,blocks,Block,Insect Trap (Honey),,,,,,"捕虫器（蜂蜜）"
trapsHoneyTrapCollectingRHDesc,blocks,Block,Catching Insects,,,,,,"虫を捕まえています"
trapsHoneyTrapFullRH,blocks,Block,Insect Trap (Full),,,,,,"捕虫器（満杯）"
trapsHoneyTrapFullRHDesc,blocks,Block,You Caught Some Insects,,,,,,"虫を捕まえることができました"
trapRefillHoneyRH,items,Item,Insect Trap Refill (Honey),,,,,,"捕虫器用詰替え用蜂蜜"
trapRefillHoneyRHDesc,items,Item,This refill can be used to fill your insect trap up to catch more insects. It can be re-used.,,,,,,"より多くの虫を捕まえるために、捕虫器を満杯にすることができる詰め替え用蜂蜜です。再利用が可能"
trapRefillBeerRH,items,Item,Insect Trap Refill (Beer),,,,,,"捕虫器用詰替え用ビール"
trapRefillBeerRHDesc,items,Item,This refill can be used to fill your insect trap up to catch more insects. It can be re-used.,,,,,,"より多くの虫を捕まえるために、捕虫器を満杯にすることができる詰め替え用ビールです。再利用が可能"
foodInsectsRH,items,Food,Insects,,,,,,"昆虫"
foodInsectsRHDesc,items,Food,"Insects can provide a bit of food to help with hunger, but to get any benefit it is best to fry them in a can or jar.",,,,,,"昆虫は空腹を補うためのちょっとした食べ物になりますが、効果を得るためには缶や瓶に入れて炒めるのが一番です。"
foodJarInsectsRH,items,Food,Insects in a Jar,,,,,,"瓶入りの昆虫"
foodJarInsectsRHDesc,items,Food,"Insects can provide a bit of food to help with hunger, but to get any benefit it is best to fry them in a can or jar.",,,,,,"昆虫は空腹を補うためのちょっとした食べ物になりますが、効果を得るためには缶や瓶に入れて炒めるのが一番です。"
foodCanInsectsRH,items,Food,Insects in a Can,,,,,,"缶入の昆虫"
foodCanInsectsRHDesc,items,Food,"Insects can provide a bit of food to help with hunger, but to get any benefit it is best to fry them in a can or jar.",,,,,,"昆虫は空腹を補うためのちょっとした食べ物になりますが、効果を得るためには缶や瓶に入れて炒めるのが一番です。"
foodBugKaBobRH,items,Item,Bug Ka Bob,,,,,,"虫ケバブ"
foodBugKaBobRHDesc,items,Item,"Frying insects is just nasty business. Leave that to the savages. I'll just stick these suckers on a stick and eat like a true aristocrat.",,,,,,"昆虫を揚げるなんて汚れ仕事は野蛮なやつらに任せておけばいいでしょう。私はこいつらのことを棒に刺して、真の貴族のように食べることにします。"
