Key,Source,Context,English,Context / Alternate Text,german,latam,french,italian,japanese
loadingTipStoves,UI,Loading Screen,"Campfires, Survival campfires and Stoves, are all used to make different & better foods. Regular campfires are good for keeping you warm & alive, but in the long run you will want to make a survival campfire and/or make a stove for the best long-term survival.",,,,,,"キャンプファイヤー、サバイバルキャンプファイア、ストーブは、それぞれ異なる食べ物を作るために使用されます。通常のキャンプファイアは暖を取るのに適していますが、長期的なサバイバルのためにはサバイバルキャンプファイアやストーブを作った方が良いでしょう。"
loadingTipStoves_title,UI,Loading Screen,Stoves and Campfires,,,,,,"ストーブとキャンプファイア"
loadingTipLooting,UI,Loading Screen,"You will want to pace yourself when exploring buildings. Looting is much slower in Ravenhearst and you will need to take your time and plan your day to make the needed scavenging runs for you or yourself or team. All loot containers, can no longer be used to store anything so you will need to make multiple loot runs or set up player made boxes outside the poi to store your goods.",,,,,,"建物を探索するときは、自分のペースで行動することをお勧めします。Ravenhearstでは略奪が非常に遅いため、自分自身やチームに必要な略奪を行うためには、時間をかけて一日の計画を立てる必要があります。すべての戦利品コンテナは、持ち物を保管するために使用することはできませんので、何回にも分けて戦利品を取りに行くか、建物の外に自分で作った箱などを設置して持ち物を保管する必要があります。"
loadingTipLooting_title,UI,Loading Screen,Pace Yourself,,,,,,"自分のペースで"
loadingTipStorage,UI,Loading Screen,"In Ravenhearst you are not able to place anything inside any loot container, inside a poi or found in the wild – you will need to build or find your own – like garbage bags many loot containers can be harvested & placed to expand your storage space, such as, backpacks, duffle bags, etc. In order to be able to build bigger & better storage containers you will need to find the proper schematics.",,,,,,"Ravenhearstでは、建物の中やその外で見つけた戦利品コンテナの中に何かを入れることはできません。ゴミ袋やバックパック、ダッフルバッグなど、多くの戦利品コンテナを一度手に入れてから配置し、収納スペースを広げることができます。より大きな、より良いストレージコンテナを作るためには、それ専用の回路図を見つける必要があります。"
loadingTipStorage_title,UI,Loading Screen,Storage,,,,,,"ストレージ"
loadingTipZombies,UI,Loading Screen,"Zombie population in Ravenhearst is much higher than that of vanilla. Once afternoon hits the undead will rise and you will need to hide or face the hordes of blood thirsty creatures after you. Cities and towns will spawn more zombies than usual, so find a quiet out of the way place as your initial headquarters and work your way to city raiding.",,,,,,
loadingTipZombies_title,UI,Loading Screen,Land of the Dead,,,,,,"Ravenhearstのゾンビの数は、バニラよりもはるかに多くなっています。午後になるとアンデッドが増えてくるので、身を隠さないと血に飢えたクリーチャーの大群に襲われることになります。都市や町では通常よりも多くのゾンビが発生するので、初期の拠点として静かな場所を見つけ、街を襲撃するようにしましょう。"
loadingTipWater,UI,Loading Screen,"All water sources have been contaminated. Even boiling water, no longer works. The water filtration unit is designed to remove almost all remaining pathogens from water so that you can drink it at a reduced risk of contamination. You can also use the water filtration unit to allow for safe planting of crops via use of a bucket of water that has been decontaminated by using the water filtration unit. With the proper knowledge eventually, you will be able to purify water and drink safely with no risk of dysentery.",,,,,,"すべての水源が汚染されています。水を沸騰させても、もはや効果はありません。浄水器は、水に残っている病原菌をほぼすべて除去するように設計されているので、汚染のリスクを減らして水を飲むことができます。また、浄水器を使って汚染を除去した水をバケツに入れて、安全に作物を植えることもできます。このように、正しい知識を身につければ、赤痢にならずに安全に水を飲むことができるのです。"
loadingTipWater_title,UI,Loading Screen,Water,,,,,,"水"
loadingTipSpoilage,UI,Loading Screen,Food in Ravenhearst will spoil over time. Backpack and Toolbelt storage are the quickest way to spoil food. The best way to slow down spoilage is to store your food in made fridges or ice chests. A cooler is good for interim spoilage reduction. You can pick coolers up by destroying them in the world.,,,,,,"Ravenhearstの食べ物は時間が経つと腐ってしまいます。バックパックやツールベルトでの保管は、食品を腐らせる最も早い方法です。腐敗を遅らせるためには、冷蔵庫やアイスチェストを作成し、そこに保管するのが一番です。クーラーボックスは、中間的な腐敗の軽減に適しています。クーラーボックスは、落ちているものを破壊することで拾うことができます。"
