Key,Source,Context,Changes,English
oilRefineryRH1,blocks,Container,KgNone,Oil Rig (Empty)
oilRefineryRH2,blocks,Container,KgNone,Oil Rig (Finding Nodes)
oilRefineryRH3,blocks,Container,KgNone,Oil Rig (Starting Drill)
oilRefineryRH4,blocks,Container,KgNone,Oil Rig (25% Full)
oilRefineryRH5,blocks,Container,KgNone,Oil Rig (50% Full)
oilRefineryRH6,blocks,Container,KgNone,Oil Rig (75% Full)
oilRefineryRH1Schematic,blocks,Container,KgNone,Oil Rig Recipe

oilRefineryRH1Desc,blocks,Container,KgNone,Place this oil rig on wide open terrain. After placing it will go through 6 phases at it looks for underground oil and drills for it. When the drill is done you will be able to loot it and it will begin drilling again.
oilRefineryRH1Full,blocks,Container,KgNone,Oil Rig Full
oilRefineryRH1FullDesc,blocks,Container,KgNone,Oil Rig has found all the oil it can find.
