Key,Source,Context,Changes,English
AquaFireRH,items,Light,,Aqua colored fire with smoke
AquaFireRHDesc,items,Food,,"A flame with aqua color and smoke burning"
DarkBlueFireRH,items,Light,,Dark Blue colored fire with smoke
DarkBlueFireRHDesc,items,Food,,"A flame with Dark Blue color and smoke burning"
DarkPurpleFireRH,items,Light,,Dark Purple colored fire with smoke
DarkPurpleFireRHDesc,items,Food,,"A flame with Dark Purple color and smoke burning"
GreenFireRH,items,Light,,Green colored fire with smoke
GreenFireRHDesc,items,Food,,"A flame with Green color and smoke burning"
LightBlueFireRH,items,Light,,Light Blue colored fire with smoke
LightBlueFireRHDesc,items,Food,,"A flame with Light Blue color and smoke burning"
OrangeFireRH,items,Light,,Orange colored fire with smoke
OrangeFireRHDesc,items,Food,,"A flame with Orange color and smoke burning"
PinkFireRH,items,Light,,Pink colored fire with smoke
PinkFireRHDesc,items,Food,,"A flame with Pink color and smoke burning"
RedFireRH,items,Light,,Red colored fire with smoke
RedFireRHDesc,items,Food,,"A flame with Red color and smoke burning"
YellowFireRH,items,Light,,Yellow colored fire with smoke
YellowFireRHDesc,items,Food,,"A flame with Yellow color and smoke burning"
WhiteSmokev,items,Light,,White colored fire with smoke
WhiteSmokeRHDesc,items,Food,,"Big white thick smoke for factories."
