Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
tutorialTipQuest01,Journal Tip,,,,"It should have been contained. It should have been stopped. We had it under control. State by state, country by country it spread. Politicians were slow to react and self appointed celebrity leaders were too busy smiling for cameras to help us survive.\n\nBy the time the government approached Makasin Pharmaceuticals it was already too late.","It should have been contained. It should have been stopped. We had it under control. State by state, country by country it spread. Politicians were slow to react and self appointed celebrity leaders were too busy smiling for cameras to help us survive.\n\nBy the time the government approached Makasin Pharmaceuticals it was already too late.","It should have been contained. It should have been stopped. We had it under control. State by state, country by country it spread. Politicians were slow to react and self appointed celebrity leaders were too busy smiling for cameras to help us survive.\n\nBy the time the government approached Makasin Pharmaceuticals it was already too late.","It should have been contained. It should have been stopped. We had it under control. State by state, country by country it spread. Politicians were slow to react and self appointed celebrity leaders were too busy smiling for cameras to help us survive.\n\nBy the time the government approached Makasin Pharmaceuticals it was already too late.","It should have been contained. It should have been stopped. We had it under control. State by state, country by country it spread. Politicians were slow to react and self appointed celebrity leaders were too busy smiling for cameras to help us survive.\n\nBy the time the government approached Makasin Pharmaceuticals it was already too late.","It should have been contained. It should have been stopped. We had it under control. State by state, country by country it spread. Politicians were slow to react and self appointed celebrity leaders were too busy smiling for cameras to help us survive.\n\nBy the time the government approached Makasin Pharmaceuticals it was already too late.","It should have been contained. It should have been stopped. We had it under control. State by state, country by country it spread. Politicians were slow to react and self appointed celebrity leaders were too busy smiling for cameras to help us survive.\n\nBy the time the government approached Makasin Pharmaceuticals it was already too late.","It should have been contained. It should have been stopped. We had it under control. State by state, country by country it spread. Politicians were slow to react and self appointed celebrity leaders were too busy smiling for cameras to help us survive.\n\nBy the time the government approached Makasin Pharmaceuticals it was already too late.","It should have been contained. It should have been stopped. We had it under control. State by state, country by country it spread. Politicians were slow to react and self appointed celebrity leaders were too busy smiling for cameras to help us survive.\n\nBy the time the government approached Makasin Pharmaceuticals it was already too late.","It should have been contained. It should have been stopped. We had it under control. State by state, country by country it spread. Politicians were slow to react and self appointed celebrity leaders were too busy smiling for cameras to help us survive.\n\nBy the time the government approached Makasin Pharmaceuticals it was already too late.","It should have been contained. It should have been stopped. We had it under control. State by state, country by country it spread. Politicians were slow to react and self appointed celebrity leaders were too busy smiling for cameras to help us survive.\n\nBy the time the government approached Makasin Pharmaceuticals it was already too late.","It should have been contained. It should have been stopped. We had it under control. State by state, country by country it spread. Politicians were slow to react and self appointed celebrity leaders were too busy smiling for cameras to help us survive.\n\nBy the time the government approached Makasin Pharmaceuticals it was already too late.","It should have been contained. It should have been stopped. We had it under control. State by state, country by country it spread. Politicians were slow to react and self appointed celebrity leaders were too busy smiling for cameras to help us survive.\n\nBy the time the government approached Makasin Pharmaceuticals it was already too late.","It should have been contained. It should have been stopped. We had it under control. State by state, country by country it spread. Politicians were slow to react and self appointed celebrity leaders were too busy smiling for cameras to help us survive.\n\nBy the time the government approached Makasin Pharmaceuticals it was already too late.","It should have been contained. It should have been stopped. We had it under control. State by state, country by country it spread. Politicians were slow to react and self appointed celebrity leaders were too busy smiling for cameras to help us survive.\n\nBy the time the government approached Makasin Pharmaceuticals it was already too late."
tutorialTipQuest01_title,Journal Tip,,,,It All Began With A Cough,It All Began With A Cough,It All Began With A Cough,It All Began With A Cough,It All Began With A Cough,It All Began With A Cough,"始まりは「咳」だった",It All Began With A Cough,It All Began With A Cough,It All Began With A Cough,It All Began With A Cough,It All Began With A Cough,It All Began With A Cough,It All Began With A Cough,It All Began With A Cough
tutorialTipQuest02,Journal Tip,,,,"While our leaders gathered supporters across the country the virus took root and spread to everyone. Every last soul infected. Makasin became greedy. The cure never went to market. Millions died.\n\nWe are all that is left. Find us. We have networks across the globe. Makasin's cure is out there, somewhere. There is still hope.","While our leaders gathered supporters across the country the virus took root and spread to everyone. Every last soul infected. Makasin became greedy. The cure never went to market. Millions died.\n\nWe are all that is left. Find us. We have networks across the globe. Makasin's cure is out there, somewhere. There is still hope.","While our leaders gathered supporters across the country the virus took root and spread to everyone. Every last soul infected. Makasin became greedy. The cure never went to market. Millions died.\n\nWe are all that is left. Find us. We have networks across the globe. Makasin's cure is out there, somewhere. There is still hope.","While our leaders gathered supporters across the country the virus took root and spread to everyone. Every last soul infected. Makasin became greedy. The cure never went to market. Millions died.\n\nWe are all that is left. Find us. We have networks across the globe. Makasin's cure is out there, somewhere. There is still hope.","While our leaders gathered supporters across the country the virus took root and spread to everyone. Every last soul infected. Makasin became greedy. The cure never went to market. Millions died.\n\nWe are all that is left. Find us. We have networks across the globe. Makasin's cure is out there, somewhere. There is still hope.","While our leaders gathered supporters across the country the virus took root and spread to everyone. Every last soul infected. Makasin became greedy. The cure never went to market. Millions died.\n\nWe are all that is left. Find us. We have networks across the globe. Makasin's cure is out there, somewhere. There is still hope.","While our leaders gathered supporters across the country the virus took root and spread to everyone. Every last soul infected. Makasin became greedy. The cure never went to market. Millions died.\n\nWe are all that is left. Find us. We have networks across the globe. Makasin's cure is out there, somewhere. There is still hope.","While our leaders gathered supporters across the country the virus took root and spread to everyone. Every last soul infected. Makasin became greedy. The cure never went to market. Millions died.\n\nWe are all that is left. Find us. We have networks across the globe. Makasin's cure is out there, somewhere. There is still hope.","While our leaders gathered supporters across the country the virus took root and spread to everyone. Every last soul infected. Makasin became greedy. The cure never went to market. Millions died.\n\nWe are all that is left. Find us. We have networks across the globe. Makasin's cure is out there, somewhere. There is still hope.","While our leaders gathered supporters across the country the virus took root and spread to everyone. Every last soul infected. Makasin became greedy. The cure never went to market. Millions died.\n\nWe are all that is left. Find us. We have networks across the globe. Makasin's cure is out there, somewhere. There is still hope.","While our leaders gathered supporters across the country the virus took root and spread to everyone. Every last soul infected. Makasin became greedy. The cure never went to market. Millions died.\n\nWe are all that is left. Find us. We have networks across the globe. Makasin's cure is out there, somewhere. There is still hope.","While our leaders gathered supporters across the country the virus took root and spread to everyone. Every last soul infected. Makasin became greedy. The cure never went to market. Millions died.\n\nWe are all that is left. Find us. We have networks across the globe. Makasin's cure is out there, somewhere. There is still hope.","While our leaders gathered supporters across the country the virus took root and spread to everyone. Every last soul infected. Makasin became greedy. The cure never went to market. Millions died.\n\nWe are all that is left. Find us. We have networks across the globe. Makasin's cure is out there, somewhere. There is still hope.","While our leaders gathered supporters across the country the virus took root and spread to everyone. Every last soul infected. Makasin became greedy. The cure never went to market. Millions died.\n\nWe are all that is left. Find us. We have networks across the globe. Makasin's cure is out there, somewhere. There is still hope.","While our leaders gathered supporters across the country the virus took root and spread to everyone. Every last soul infected. Makasin became greedy. The cure never went to market. Millions died.\n\nWe are all that is left. Find us. We have networks across the globe. Makasin's cure is out there, somewhere. There is still hope."
tutorialTipQuest02_title,Journal Tip,,,,They Were Just As Guilty,They Were Just As Guilty,They Were Just As Guilty,They Were Just As Guilty,They Were Just As Guilty,They Were Just As Guilty,They Were Just As Guilty,They Were Just As Guilty,They Were Just As Guilty,They Were Just As Guilty,They Were Just As Guilty,They Were Just As Guilty,They Were Just As Guilty,They Were Just As Guilty,They Were Just As Guilty
uiLoadCreatingPlayer,UI,Game loading,x,,Creating player...,Creating player...,Creating player...,Creating player...,Creating player...,Creating player...,Creating player...,Creating player...,Creating player...,Creating player...,Creating player...,Creating player...,Creating player...,Creating player...,Creating player...
uiLoadCreatingWorld,UI,Game loading,x,,Raising the Dead...,Raising the Dead...,Raising the Dead...,Raising the Dead...,Raising the Dead...,Raising the Dead...,Raising the Dead...,Raising the Dead...,Raising the Dead...,Raising the Dead...,Raising the Dead...,Raising the Dead...,Raising the Dead...,Raising the Dead...,Raising the Dead...
uiLoadDownloadingWorld,UI,Game loading,x,,Downloading World: {0:P0},Downloading World: {0:P0},Downloading World: {0:P0},Downloading World: {0:P0},Downloading World: {0:P0},Downloading World: {0:P0},Downloading World: {0:P0},Downloading World: {0:P0},Downloading World: {0:P0},Downloading World: {0:P0},Downloading World: {0:P0},Downloading World: {0:P0},Downloading World: {0:P0},Downloading World: {0:P0},Downloading World: {0:P0}
uiLoadDownloadingWorldEstimate,UI,Game loading,x,,Downloading World: {0:P0}\n(Estimated {1}:{2:00}),Downloading World: {0:P0}\n(Estimated {1}:{2:00}),Downloading World: {0:P0}\n(Estimated {1}:{2:00}),Downloading World: {0:P0}\n(Estimated {1}:{2:00}),Downloading World: {0:P0}\n(Estimated {1}:{2:00}),Downloading World: {0:P0}\n(Estimated {1}:{2:00}),Downloading World: {0:P0}\n(Estimated {1}:{2:00}),Downloading World: {0:P0}\n(Estimated {1}:{2:00}),Downloading World: {0:P0}\n(Estimated {1}:{2:00}),Downloading World: {0:P0}\n(Estimated {1}:{2:00}),Downloading World: {0:P0}\n(Estimated {1}:{2:00}),Downloading World: {0:P0}\n(Estimated {1}:{2:00}),Downloading World: {0:P0}\n(Estimated {1}:{2:00}),Downloading World: {0:P0}\n(Estimated {1}:{2:00}),Downloading World: {0:P0}\n(Estimated {1}:{2:00})
uiLoadDownloadingWorldWait,UI,Game loading,x,,Waiting for server to send the world...,Waiting for server to send the world...,Waiting for server to send the world...,Waiting for server to send the world...,Waiting for server to send the world...,Waiting for server to send the world...,Waiting for server to send the world...,Waiting for server to send the world...,Waiting for server to send the world...,Waiting for server to send the world...,Waiting for server to send the world...,Waiting for server to send the world...,Waiting for server to send the world...,Waiting for server to send the world...,Waiting for server to send the world...
uiLoadLoadingXml,UI,Game loading,x,,Loading RHv19.6b8-7.6.1.2...,Loading RHv19.6b8-7.6.1.2...,Loading RHv19.6b8-7.6.1.2...,Loading RHv19.6b8-7.6.1.2...,Loading RHv19.6b8-7.6.1.2...,Loading RHv19.6b8-7.6.1.2...,Loading RHv19.6b8-7.6.1.2...,Loading RHv19.6b8-7.6.1.2...,Loading RHv19.6b8-7.6.1.2...,Loading RHv19.6b8-7.6.1.2...,Loading RHv19.6b8-7.6.1.2...,Loading RHv19.6b8-7.6.1.2...,Loading RHv19.6b8-7.6.1.2...,Loading RHv19.6b8-7.6.1.2...,Loading RHv19.6b8-7.6.1.2...
