Key,Source,Context,English,Japanese
workingMicrowaveRH,blocks,Block,Microwave (Powered),"電子レンジ（通電）"
workingMicrowaveRHDesc,blocks,Block,"This microwave is powered already and can be used to heat up bowls of canned food to gain the maximum benefits from them.","この電子レンジはすでに電源が入っており、ボウルに入った缶詰を温めることで最大限の効果を得ることができます。"
drinkBowlEmptyRH,items,Item,Bowl (Empty),"ボウル（空）"
drinkBowlEmptyRHDesc,items,Item,Use this empty bowl to heat up foods in the microwave.,"この空のボウルを使って、電子レンジで食材を温めることができます。"
foodSoupChickenRH,items,Food,Bowl of Chicken Soup,"チキンスープのボウル"
foodSoupChickenRHDesc,items,Food,Using your saved canned food with bowls in the microwave can give you additional benefits. Nothing beats a warm bowl of food.,"保存しておいた缶詰を、ボウルにいれて電子レンジで温めると、さらに高い効果を得られます。温かいボウルの食事に勝るものはありません。"
foodBowlPastaRH,items,Food,Bowl of Pasta,"パスタのボウル"
foodBowlPastaRHDesc,items,Food,Using your saved canned food with bowls in the microwave can give you additional benefits. Nothing beats a warm bowl of food.,"保存しておいた缶詰を、ボウルにいれて電子レンジで温めると、さらに高い効果を得られます。温かいボウルの食事に勝るものはありません。"
foodBowlChiliRH,items,Food,Bowl of Chili,"チリのボウル"
foodBowlChiliRHDesc,items,Food,Using your saved canned food with bowls in the microwave can give you additional benefits. Nothing beats a warm bowl of food.,"保存しておいた缶詰を、ボウルにいれて電子レンジで温めると、さらに高い効果を得られます。温かいボウルの食事に勝るものはありません。"
foodBeefStewRH,items,Food,Bowl of Beef Stew,"ビーフシチューのボウル"
foodBeefStewRHDesc,items,Food,Using your saved canned food with bowls in the microwave can give you additional benefits. Nothing beats a warm bowl of food.,"保存しておいた缶詰を、ボウルにいれて電子レンジで温めると、さらに高い効果を得られます。温かいボウルの食事に勝るものはありません。"
foodLambSoupRH,items,Food,Bowl of Lamb Soup,"ラムスープのボウル"
foodLambSoupRHDesc,items,Food,Using your saved canned food with bowls in the microwave can give you additional benefits. Nothing beats a warm bowl of food.,"保存しておいた缶詰を、ボウルにいれて電子レンジで温めると、さらに高い効果を得られます。温かいボウルの食事に勝るものはありません。"
foodTunaSandwichRH,items,Food,Tuna Sandwich,"ツナサンドイッチ"
foodTunaSandwichRHDesc,items,Food,Making a delicious tuna sandwich will give you some extra benefits.,"美味しいツナサンドイッチは、食べるとちょっとした追加効果があります"
microwaveTipRH,Journal,EnChanged,The microwave can be placed and used to heat canned food recipes. Canned food recipes offer slightly more benefits to them than if you eat them in singles so save those cans when you can. Bowls can be found in loot and are used with the canned foods.,"電子レンジは、設置が可能で缶詰のレシピを温めることができます。缶詰のレシピは、1個ずつ食べるよりも少しだけ効果があるので、できるだけ缶詰を保存しておきましょう。ボウルは戦利品として手に入れることができ、缶詰と一緒に使います。"
microwaveTipRH_title,Journal,KeyTrunk,Microwave,"電子レンジ"
