Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
LegendaryBowSchematic,items,Gun,New,Legendary Bow Schematic,,,,,
HatchetSchematic,items,Gun,New,Hatchet Schematic,,,,,
WarHammerSchematic,items,Gun,New,War Hammer Schematic,,,,,
BattleMaulSchematic,items,Gun,New,Battle Maul Schematic,,,,,
GateCrasherSchematic,items,Gun,New,Gate Crasher Schematic,,,,,
MaceSchematic,items,Gun,New,Mace Schematic,,,,,
WarMaceSchematic,items,Gun,New,War Mace Schematic,,,,,
CrownSplitterSchematic,items,Gun,New,Crown Splitter Schematic,,,,,
DaneSchematic,items,Gun,New,Dane Schematic,,,,,
BattleAxeSchematic,items,Gun,New,Battle Axe Schematic,,,,,
CorpseMakerSchematic,items,Gun,New,Corpse Maker Schematic,,,,,
ClaymoreSchematic,items,Gun,New,Claymore Schematic,,,,,
DragonSlayerSchematic,items,Gun,New,Dragon Slayer Schematic,,,,,
JavelinSchematic,items,Gun,New,Javelin Schematic,,,,,
SpearSchematic,items,Gun,New,Spear Schematic,,,,,
HalberdSchematic,items,Gun,New,Halberd Schematic,,,,,
LegendaryBowDesc,items,Gun,New,A barbaric and vicious weapon. Repair with Forged Chromium,,,,,
WarHammerDesc,items,Gun,New,A barbaric and vicious weapon. Repair with Forged Aluminum,,,,,
BattleMaulDesc,items,Gun,New,A barbaric and vicious weapon. Repair with Forged Chromium,,,,,
GateCrasherDesc,items,Gun,New,A barbaric and vicious weapon. Repair with Forged Tungsten,,,,,
MaceDesc,items,Gun,New,A barbaric and vicious weapon. Repair with Forged Aluminum,,,,,
WarMaceDesc,items,Gun,New,A barbaric and vicious weapon. Repair with Forged Chromium,,,,,
CrownSplitterDesc,items,Gun,New,A barbaric and vicious weapon. Repair with Forged Tungsten,,,,,
HatchetDesc,items,Gun,New,A barbaric and vicious weapon. Repair with Forged Aluminum,,,,,
DaneDesc,items,Gun,New,A barbaric and vicious weapon. Repair with Forged Chromium,,,,,
BattleAxeDesc,items,Gun,New,A barbaric and vicious weapon. Repair with Forged Chromium,,,,,
CorpseMakerDesc,items,Gun,New,A barbaric and vicious weapon. Repair with Forged Tungsten,,,,,
ClaymoreDesc,items,Gun,New,A barbaric and vicious weapon. Repair with Forged Chromium,,,,,
DragonSlayerDesc,items,Gun,New,A barbaric and vicious weapon. Repair with Forged Tungsten,,,,,
JavelinDesc,items,Gun,New,A barbaric and vicious throwing weapon. Repair with Forged Chromium,,,,,
SpearDesc,items,Gun,New,A barbaric and vicious throwing weapon. Repair with Forged Aluminum,,,,,
HalberdDesc,items,Gun,New,A barbaric and vicious throwing weapon. Repair with Forged Tungsten,,,,,

LegendaryBow,items,Gun,New,Legendary Bow,,,,,
Hatchet,items,Gun,New,Hatchet,,,,,
WarHammer,items,Gun,New,War Hammer,,,,,
BattleMaul,items,Gun,New,Battle Maul,,,,,
GateCrasher,items,Gun,New,Gate Crasher,,,,,
Mace,items,Gun,New,Mace,,,,,
WarMace,items,Gun,New,War Mace,,,,,
CrownSplitter,items,Gun,New,Crown Splitter,,,,,
Dane,items,Gun,New,Dane,,,,,
BattleAxe,items,Gun,New,Battle Axe,,,,,
CorpseMaker,items,Gun,New,Corpse Maker,,,,,
Claymore,items,Gun,New,Claymore,,,,,
DragonSlayer,items,Gun,New,Dragon Slayer,,,,,
Javelin,items,Gun,New,Javelin,,,,,
Spear,items,Gun,New,Spear,,,,,
Halberd,items,Gun,New,Halberd,,,,,

