Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
EntityLootContainerNPC,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainer,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerClub,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerKnife,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerSMG,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerAK47,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerHunter,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerPistol,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerXBow,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerBow,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerShotty,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerArmor,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
