Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / 
ammoArrowStone,items,Ammo,,,Stone Arrow (Ammo),,
ammoArrowStoneDesc,items,Ammo,,,A stone-tipped arrow. Ammunition for all Bows. Hold reload to use alternate ammo.,,
ammoArrowIron,items,Ammo,,,Iron Arrow (Ammo),,
ammoArrowIronDesc,items,Ammo,,,An iron arrow does more damage than the basic stone arrow. Ammunition for all Bows. Hold reload to use alternate ammo.,,
ammoArrowSteelAP,items,Ammo,,,Steel Arrow (Ammo),,
ammoArrowSteelAPDesc,items,Ammo,,,Steel-tipped arrows do yet more damage and fly straighter. Ammunition for all Bows.\nHold reload to use alternate ammo.,,
ammoArrowCarbonSteelAP,items,Ammo,,,Carbon Steel Arrow (Ammo),,
ammoArrowCarbonSteelAPDesc,items,Ammo,,,Carbon Steel-tipped arrows do more damage and fly straighter than the Steel arrows. Ammunition for all Bows.\nHold reload to use alternate ammo.,,
ammoArrowAluminiumStone,items,Ammo,,,Aluminium Stone Arrow (Ammo),,
ammoArrowAluminiumStoneDesc,items,Ammo,,,A stone-tipped aluminium arrow. Ammunition for all Bows. Hold reload to use alternate ammo.,,
ammoArrowAluminiumIron,items,Ammo,,,Aluminium Iron Arrow (Ammo),,
ammoArrowAluminiumIronDesc,items,Ammo,,,The aluminium iron arrow does more damage than the aluminium stone arrow. Ammunition for all Bows. Hold reload to use alternate ammo.,,
ammoArrowAluminiumSteelAP,items,Ammo,,,Aluminium Steel Arrow (Ammo),,
ammoArrowAluminiumSteelAPDesc,items,Ammo,,,Aluminium Steel-tipped arrows do yet more damage and fly straighter. Ammunition for all Bows.\nHold reload to use alternate ammo.,,
ammoArrowAluminiumCarbonSteelAP,items,Ammo,,,Aluminium Carbon Steel Arrow (Ammo),,
ammoArrowAluminiumCarbonSteelAPDesc,items,Ammo,,,Aluminium Carbon Steel-tipped arrows do more damage and fly straighter than the aluminium Steel arrows. Ammunition for all Bows.\nHold reload to use alternate ammo.,,
ammoArrowFiberStone,items,Ammo,,,Carbon Fiber Stone Arrow (Ammo),,
ammoArrowFiberStoneDesc,items,Ammo,,,A stone-tipped carbon fiber arrow. Ammunition for all Bows. Hold reload to use alternate ammo.,,
ammoArrowFiberIron,items,Ammo,,,Carbon Fiber Iron Arrow (Ammo),,
ammoArrowFiberIronDesc,items,Ammo,,,The carbon fiber iron arrow does more damage than the aluminium stone arrow. Ammunition for all Bows. Hold reload to use alternate ammo.,,
ammoArrowFiberSteelAP,items,Ammo,,,Carbon Fiber Steel Arrow (Ammo),,
ammoArrowFiberSteelAPDesc,items,Ammo,,,Carbon Fiber Steel-tipped arrows do yet more damage and fly straighter. Ammunition for all Bows.\nHold reload to use alternate ammo.,,
ammoArrowFiberCarbonSteelAP,items,Ammo,,,Carbon Fiber Carbon Steel Arrow (Ammo),,
ammoArrowFiberCarbonSteelAPDesc,items,Ammo,,,Aluminium Carbon Steel-tipped arrows do more damage and fly straighter than the aluminium Steel arrows. Ammunition for all Bows.\nHold reload to use alternate ammo.,,

ammoArrowShock,items,Ammo,,,Electric Shock Arrow (Ammo),,
ammoArrowShockDesc,items,Ammo,,,A Electric Shock arrow. Ammunition for a bow. Shocks the target with electricity for 5 seconds. Hold reload to use alternate ammo.,,
ammoArrowStun,items,Ammo,,,Stone Stun Arrow (Ammo),,
ammoArrowStunDesc,items,Ammo,,,A Stone Stun arrow. Ammunition for a bow. Knocks the target to the ground for 5 seconds. Hold reload to use alternate ammo.,,

resourceArrowHeadCarbonAP,items,item,,,Carbon Steel Arrowhead,,
resourceArrowHeadCarbonAPDesc,items,item,,,An Carbon Steel arrowhead used to craft Carbon Composite Arrow and bolts.,,
resourceArrowHeadShock,items,item,,,Electric Shock Arrowhead,,
resourceArrowHeadShockDesc,items,item,,,An Electric Shock arrowhead used to craft Shock arrows and bolts.,,
resourceArrowHeadStun,items,item,,,Stone Stun Arrowhead,,
resourceArrowHeadStunDesc,items,item,,,An Stone Stun arrowhead used to craft Stun arrows and bolts.,,

ammoCrossbowBoltStone,items,Ammo,,,Stone Crossbow Bolt (Ammo),,
ammoCrossbowBoltStoneDesc,items,Ammo,,,A stone-tipped crossbow bolt. Hold reload to use alternate ammo.,,
ammoCrossbowBoltIron,items,Ammo,,,Iron Crossbow Bolt (Ammo),,
ammoCrossbowBoltIronDesc,items,Ammo,,,An iron-tipped bolt for the crossbow. Hold reload to use alternate ammo.,,
ammoCrossbowBoltSteelAP,items,Ammo,,,Steel Crossbow Bolt (Ammo),,
ammoCrossbowBoltSteelAPDesc,items,Ammo,,,Steel-tipped bolts do yet more damage and fly straighter.\nHold reload to use alternate ammo.,,
ammoCrossbowBoltCarbonSteelAP,items,Ammo,,,Carbon Steel Crossbow Bolt (Ammo),,
ammoCrossbowBoltCarbonSteelAPDesc,items,Ammo,,,Steel-tipped bolts do yet more damage and fly straighter than Steel Bolts.\nHold reload to use alternate ammo.,,
ammoCrossbowBoltAluminiumStone,items,Ammo,,,Aluminium Stone Crossbow Bolt (Ammo),,
