Key,Source,Context,Changes,English
vehicleChaosBike,vehicles,vehicle,new,Chaos Motorbike,,,,,
vehicleChaosBikeplaceable,vehicles,item,EnChanged,Chaos Motorbike,,,,,
vehicleChaosBikeplaceableDesc,vehicles,item,EnChanged,Why walk with the dead when you can ride!,,,,,
vehicleChaosBikeBaseChassis,items,Part,EnChanged,Chaos Motorbike Chassis Body,,,,,
vehicleChaosBikeBaseChassisDesc,items,Part,EnChanged,The beginning of something...awesome!,,,,,
vehicleChaosBikeCompleteChassis,items,Part,EnChanged,Chaos Motorbike Completed Chassis,,,,,
vehicleChaosBikeCompleteChassisDesc,items,Part,EnChanged, Nearly there !,,,,,
vehicleChaosBikebars,items,Part,EnChanged,Chaos Motorbike Handlebars,,,,,
vehicleChaosBikebarsDesc,items,Part,EnChanged,You might need these.,,,,,
vehicleChaosBikeSeat,items,Part,EnChanged,Chaos Motorbike Seat,,,,,
vehicleChaosBikeSeatDesc,items,Part,EnChanged,Ride in Comfort.,,,,,
vehicleChaosBikeEngine,items,Part,EnChanged,Chaos Motorbike Engine,,,,,
vehicleChaosBikeEngineDesc,items,Part,EnChanged, For that extra power.,,,,,
vehicleChaosBikeSchematic,items,Melee,EnChanged,Chaos Motorbike Schematic,,,,,
