Key,Source,Context,English
mcCubeContainer,blocks,Block,"Generic Box (Storage)"
mcCubeContainerInsecure,blocks,Block,"Generic Box (Storage)"
mcCubeContainerAmo,blocks,Block,"Ammo Box (Storage)"
mcCubeContainerAmoInsecure,blocks,Block,"Ammo Box (Storage)"
mcCubeContainerArmors,blocks,Block,"Armors Box (Storage)"
mcCubeContainerArmorsInsecure,blocks,Block,"Armors Box (Storage)"
mcCubeContainerAutoparts,blocks,Block,"Auto Parts Box (Storage)"
mcCubeContainerAutopartsInsecure,blocks,Block,"Auto Parts Box (Storage)"
mcCubeContainerBarter,blocks,Block,"Barter Box (Storage)"
mcCubeContainerBarterInsecure,blocks,Block,"Barter Box (Storage)"
mcCubeContainerBuilding,blocks,Block,"Building Box (Storage)"
mcCubeContainerBuildingInsecure,blocks,Block,"Building Box (Storage)"
mcCubeContainerExplosive,blocks,Block,"Explosive Box (Storage)"
mcCubeContainerExplosiveInsecure,blocks,Block,"Explosive Box (Storage)"
mcCubeContainerFood,blocks,Block,"Food Box (Storage)"
mcCubeContainerFoodInsecure,blocks,Block,"Food Box (Storage)"
mcCubeContainerForge,blocks,Block,"Forge Box (Storage)"
mcCubeContainerForgeInsecure,blocks,Block,"Forge Box (Storage)"
mcCubeContainerHealth,blocks,Block,"Health Box (Storage)"
mcCubeContainerHealthInsecure,blocks,Block,"Health Box (Storage)"
mcCubeContainerMining,blocks,Block,"Mining Box (Storage)"
mcCubeContainerMiningInsecure,blocks,Block,"Mining Box (Storage)"
mcCubeContainerRecycle,blocks,Block,"Recycling Box (Storage)"
mcCubeContainerRecycleInsecure,blocks,Block,"Recycling Box (Storage)"
mcCubeContainerWeapons,blocks,Block,"Weapons Box (Storage)"
mcCubeContainerWeaponsInsecure,blocks,Block,"Weapons Box (Storage)"
mcCubeContainerWorkbench,blocks,Block,"Workbench Box (Storage)"
mcCubeContainerWorkbenchInsecure,blocks,Block,"Workbench Box (Storage)"


mcCubeContainerLargeRH,blocks,Block,"Generic Box XL (Storage)"
mcCubeContainerInsecureLargeRH,blocks,Block,"Generic Box XL (Storage)"
mcCubeContainerAmoLargeRH,blocks,Block,"Ammo Box XL (Storage)"
mcCubeContainerAmoInsecureLargeRH,blocks,Block,"Ammo Box XL (Storage)"
mcCubeContainerArmorsLargeRH,blocks,Block,"Armors Box XL (Storage)"
mcCubeContainerArmorsInsecureLargeRH,blocks,Block,"Armors Box XL (Storage)"
mcCubeContainerAutopartsLargeRH,blocks,Block,"Auto Parts Box XL (Storage)"
mcCubeContainerAutopartsInsecureLargeRH,blocks,Block,"Auto Parts Box XL (Storage)"
mcCubeContainerBarterLargeRH,blocks,Block,"Barter Box XL (Storage)"
mcCubeContainerBarterInsecureLargeRH,blocks,Block,"Barter Box XL (Storage)"
mcCubeContainerBuildingLargeRH,blocks,Block,"Building Box XL (Storage)"
mcCubeContainerBuildingInsecureLargeRH,blocks,Block,"Building Box XL (Storage)"
mcCubeContainerExplosiveLargeRH,blocks,Block,"Explosive Box XL (Storage)"
mcCubeContainerExplosiveInsecureLargeRH,blocks,Block,"Explosive Box XL (Storage)"
mcCubeContainerFoodLargeRH,blocks,Block,"Food Box XL (Storage)"
mcCubeContainerFoodInsecureLargeRH,blocks,Block,"Food Box XL (Storage)"
mcCubeContainerForgeLargeRH,blocks,Block,"Forge Box XL (Storage)"
mcCubeContainerForgeInsecureLargeRH,blocks,Block,"Forge Box XL (Storage)"
mcCubeContainerHealthLargeRH,blocks,Block,"Health Box XL (Storage)"
mcCubeContainerHealthInsecureLargeRH,blocks,Block,"Health Box XL (Storage)"
mcCubeContainerMiningLargeRH,blocks,Block,"Mining Box XL (Storage)"
mcCubeContainerMiningInsecureLargeRH,blocks,Block,"Mining Box XL (Storage)"
mcCubeContainerRecycleLargeRH,blocks,Block,"Recycling Box XL (Storage)"
mcCubeContainerRecycleInsecureLargeRH,blocks,Block,"Recycling Box XL (Storage)"
mcCubeContainerWeaponsLargeRH,blocks,Block,"Weapons Box XL (Storage)"
mcCubeContainerWeaponsInsecureLargeRH,blocks,Block,"Weapons Box XL (Storage)"
mcCubeContainerWorkbenchLargeRH,blocks,Block,"Workbench Box XL (Storage)"
mcCubeContainerWorkbenchInsecureLargeRH,blocks,Block,"Workbench Box XL (Storage)"


mcHalfCubeContainer,blocks,Block,"Halfblock Generic Storage Box"
mcHalfCubeContainerInsecure,blocks,Block,"Halfblock Generic Storage Box"
mcHalfCubeContainerAmo,blocks,Block,"Halfblock Amo Storage Box"
mcHalfCubeContainerAmoInsecure,blocks,Block,"Halfblock Amo Storage Box"
mcHalfCubeContainerArmors,blocks,Block,"Halfblock Armors Storage Box"
mcHalfCubeContainerArmorsInsecure,blocks,Block,"Halfblock Armors Storage Box"
mcHalfCubeContainerAutoparts,blocks,Block,"Halfblock Auto Parts Storage Box"
mcHalfCubeContainerAutopartsInsecure,blocks,Block,"Halfblock Auto Parts Storage Box"
mcHalfCubeContainerBarter,blocks,Block,"Halfblock Barter Storage Box"
mcHalfCubeContainerBarterInsecure,blocks,Block,"Halfblock Barter Storage Box"
mcHalfCubeContainerBuilding,blocks,Block,"Halfblock Building Storage Box"
mcHalfCubeContainerBuildingInsecure,blocks,Block,"Halfblock Building Storage Box"
mcHalfCubeContainerExplosive,blocks,Block,"Halfblock Explosive Storage Box"
mcHalfCubeContainerExplosiveInsecure,blocks,Block,"Halfblock Explosive Storage Box"
mcHalfCubeContainerFood,blocks,Block,"Halfblock Food Storage Box"
mcHalfCubeContainerFoodInsecure,blocks,Block,"Halfblock Food Storage Box"
mcHalfCubeContainerForge,blocks,Block,"Halfblock Forge Storage Box"
mcHalfCubeContainerForgeInsecure,blocks,Block,"Halfblock Forge Storage Box"
mcHalfCubeContainerHealth,blocks,Block,"Halfblock Health Storage Box"
mcHalfCubeContainerHealthInsecure,blocks,Block,"Halfblock Health Storage Box"
mcHalfCubeContainerMining,blocks,Block,"Halfblock Mining Storage Box"
mcHalfCubeContainerMiningInsecure,blocks,Block,"Halfblock Mining Storage Box"
mcHalfCubeContainerRecycle,blocks,Block,"Halfblock Recycling Storage Box"
mcHalfCubeContainerRecycleInsecure,blocks,Block,"Halfblock Recycling Storage Box"
mcHalfCubeContainerWeapons,blocks,Block,"Halfblock Weapons Storage Box"
mcHalfCubeContainerWeaponsInsecure,blocks,Block,"Halfblock Weapons Storage Box"
mcHalfCubeContainerWorkbench,blocks,Block,"Halfblock Workbench Storage Box"
mcHalfCubeContainerWorkbenchInsecure,blocks,Block,"Halfblock Workbench Storage Box"
cntLargeWritableBoxRHSchematic,items,Item,XL Storage Schematic
mcCubeContainerDesc,blocks,Block,"A very large lockable crate."
