Key,Source,Context,Changes,English

GG_PE_NeongLightsBlueVar,items,Item,,Blue Neon Letters
GG_PE_NeongLightsWhiteVar,items,Item,,White Neon Letters
GG_PE_NeongLightsYellowVar,items,Item,,Yellow Neon Letters
GG_PE_NeongLightsPinkVar,items,Item,,Pink Neon Letters


GG_PE_NeonLightsBlue0,items,Item,,Neon Blue 0
GG_PE_NeonLightsBlue1,items,Item,,Neon Blue 1
GG_PE_NeonLightsBlue2,items,Item,,Neon Blue 2
GG_PE_NeonLightsBlue3,items,Item,,Neon Blue 3
GG_PE_NeonLightsBlue4,items,Item,,Neon Blue 4
GG_PE_NeonLightsBlue5,items,Item,,Neon Blue 5
GG_PE_NeonLightsBlue6,items,Item,,Neon Blue 6
GG_PE_NeonLightsBlue7,items,Item,,Neon Blue 7
GG_PE_NeonLightsBlue8,items,Item,,Neon Blue 8
GG_PE_NeonLightsBlue9,items,Item,,Neon Blue 9
GG_PE_NeonLightsBlueA,items,Item,,Neon Blue A
GG_PE_NeonLightsBlueB,items,Item,,Neon Blue B
GG_PE_NeonLightsBlueC,items,Item,,Neon Blue C
GG_PE_NeonLightsBlueD,items,Item,,Neon Blue D
GG_PE_NeonLightsBlueE,items,Item,,Neon Blue E
GG_PE_NeonLightsBlueF,items,Item,,Neon Blue F
GG_PE_NeonLightsBlueG,items,Item,,Neon Blue G
GG_PE_NeonLightsBlueH,items,Item,,Neon Blue H
GG_PE_NeonLightsBlueI,items,Item,,Neon Blue I
GG_PE_NeonLightsBlueJ,items,Item,,Neon Blue J
GG_PE_NeonLightsBlueK,items,Item,,Neon Blue K
GG_PE_NeonLightsBlueL,items,Item,,Neon Blue L
GG_PE_NeonLightsBlueM,items,Item,,Neon Blue M
GG_PE_NeonLightsBlueN,items,Item,,Neon Blue N
GG_PE_NeonLightsBlueO,items,Item,,Neon Blue O
GG_PE_NeonLightsBlueP,items,Item,,Neon Blue P
GG_PE_NeonLightsBlueQ,items,Item,,Neon Blue Q
GG_PE_NeonLightsBlueR,items,Item,,Neon Blue R
GG_PE_NeonLightsBlueS,items,Item,,Neon Blue S
GG_PE_NeonLightsBlueT,items,Item,,Neon Blue T
GG_PE_NeonLightsBlueU,items,Item,,Neon Blue U
GG_PE_NeonLightsBlueV,items,Item,,Neon Blue V
GG_PE_NeonLightsBlueW,items,Item,,Neon Blue W
GG_PE_NeonLightsBlueX,items,Item,,Neon Blue X
GG_PE_NeonLightsBlueY,items,Item,,Neon Blue Y
GG_PE_NeonLightsBlueZ,items,Item,,Neon Blue Z

GG_PE_NeonLightsWhite0,items,Item,,Neon White 0
GG_PE_NeonLightsWhite1,items,Item,,Neon White 1
GG_PE_NeonLightsWhite2,items,Item,,Neon White 2
GG_PE_NeonLightsWhite3,items,Item,,Neon White 3
GG_PE_NeonLightsWhite4,items,Item,,Neon White 4
GG_PE_NeonLightsWhite5,items,Item,,Neon White 5
GG_PE_NeonLightsWhite6,items,Item,,Neon White 6
GG_PE_NeonLightsWhite7,items,Item,,Neon White 7
GG_PE_NeonLightsWhite8,items,Item,,Neon White 8
GG_PE_NeonLightsWhite9,items,Item,,Neon White 9
GG_PE_NeonLightsWhiteA,items,Item,,Neon White A
GG_PE_NeonLightsWhiteB,items,Item,,Neon White B
GG_PE_NeonLightsWhiteC,items,Item,,Neon White C
GG_PE_NeonLightsWhiteD,items,Item,,Neon White D
GG_PE_NeonLightsWhiteE,items,Item,,Neon White E
GG_PE_NeonLightsWhiteF,items,Item,,Neon White F
