Key,Source,Context,English
attmastery,progression,Attribute,Jax Of All Trades
attMastery,progression,Attribute,Jax Of All Trades
attMasteryDesc,progression,Attribute,Master the fine art of being beast like Jax!.
attMasteryName,progression,Attribute,Attribute: Jax Of All Trades
skillJackOfAllName,progression,Perk,Jax of All Trades
skillMeleeMasteryName,progression,Perk,Melee Masteries
skillRangedMasteryName,progression,Perk,Ranged Masteries
skillJackOfAllDesc,progression,Perk,Perks for everything!
skillMeleeMasteryDesc,progression,Perk,Perks for Melee masteries!
skillRangedMasteryDesc,progression,Perk,Perks for ranged masteries!
perkSprinterName,progression,Perk,Sprinter
perkSprinterDesc,progression,Perk,You are mastering the art of sprinting from/to any sound you hear. Your sprinting speed increases.
perkSprinterRank1Desc,progression,Perk,Sprinter I
perkSprinterRank1LongDesc,progression,Perk,Increase your sprinting speed by 2%.
perkSprinterRank2Desc,progression,Perk,Sprinter II
perkSprinterRank2LongDesc,progression,Perk,Increase your sprinting speed by 4%.
perkSprinterRank3Desc,progression,Perk,Sprinter III
perkSprinterRank3LongDesc,progression,Perk,Increase your sprinting speed by 6%.
perkSprinterRank4Desc,progression,Perk,Sprinter IV
perkSprinterRank4LongDesc,progression,Perk,Increase your sprinting speed by 8%.
perkSprinterRank5Desc,progression,Perk,Sprinter V
perkSprinterRank5LongDesc,progression,Perk,Increase your sprinting speed by 10%.
perkSprinterRank6Desc,progression,Perk,Sprinter VI
perkSprinterRank6LongDesc,progression,Perk,Increase your sprinting speed by 12%.
perkSprinterRank7Desc,progression,Perk,Sprinter VII
perkSprinterRank7LongDesc,progression,Perk,Increase your sprinting speed by 14%.
perkSprinterRank8Desc,progression,Perk,Sprinter VIII
perkSprinterRank8LongDesc,progression,Perk,Increase your sprinting speed by 16%.
perkSprinterRank9Desc,progression,Perk,Sprinter IX
perkSprinterRank9LongDesc,progression,Perk,Increase your sprinting speed by 18%.
perkSprinterRank10Desc,progression,Perk,Master Sprinter
perkSprinterRank10LongDesc,progression,Perk,Your speed equals that of Usain Bolt. Increase your sprinting speed by 25%.
perkSurvivalistName,progression,Perk,Survivalist
perkSurvivalistDesc,progression,Perk,You are conditioning your body to the maximum limits. Your tolerance towards the elements increases.
perkSurvivalistRank1Desc,progression,Perk,Survivalist I
perkSurvivalistRank1LongDesc,progression,Perk,Increase your resistance against heat and cold by 2.
perkSurvivalistRank2Desc,progression,Perk,Survivalist II
perkSurvivalistRank2LongDesc,progression,Perk,Increase your resistance against heat and cold by 4.
perkSurvivalistRank3Desc,progression,Perk,Survivalist III
perkSurvivalistRank3LongDesc,progression,Perk,Increase your resistance against heat and cold by 6.
perkSurvivalistRank4Desc,progression,Perk,Survivalist IV
perkSurvivalistRank4LongDesc,progression,Perk,Increase your resistance against heat and cold by 8.
perkSurvivalistRank5Desc,progression,Perk,Survivalist V
perkSurvivalistRank5LongDesc,progression,Perk,Increase your resistance against heat and cold by 10.
perkSurvivalistRank6Desc,progression,Perk,Survivalist VI
perkSurvivalistRank6LongDesc,progression,Perk,Increase your resistance against heat and cold by 12.
perkSurvivalistRank7Desc,progression,Perk,Survivalist VII
perkSurvivalistRank7LongDesc,progression,Perk,Increase your resistance against heat and cold by 14.
perkSurvivalistRank8Desc,progression,Perk,Survivalist VIII
perkSurvivalistRank8LongDesc,progression,Perk,Increase your resistance against heat and cold by 16.
perkSurvivalistRank9Desc,progression,Perk,Survivalist IX
perkSurvivalistRank9LongDesc,progression,Perk,Increase your resistance against heat and cold by 18.
perkSurvivalistRank10Desc,progression,Perk,Master Survivalist
perkSurvivalistRank10LongDesc,progression,Perk,You've mastered the art of surviving in the wilderness, you even grill bears! Increase your resistance against heat and cold by 25.
perkCalisthenicsName,progression,Perk,Calisthenics
perkCalisthenicsDesc,progression,Perk,You are mastering the excercising method of only using your body, enforcing a daily training regime and a balanced diet. Your maximum health and stamina increase.
perkCalisthenicsRank1Desc,progression,Perk,Calisthenics I
perkCalisthenicsRank1LongDesc,progression,Perk,Increase your maximum health and stamina by 3%.
perkCalisthenicsRank2Desc,progression,Perk,Calisthenics II
perkCalisthenicsRank2LongDesc,progression,Perk,Increase your maximum health and stamina by 6%.
perkCalisthenicsRank3Desc,progression,Perk,Calisthenics III
perkCalisthenicsRank3LongDesc,progression,Perk,Increase your maximum health and stamina by 9%.
perkCalisthenicsRank4Desc,progression,Perk,Calisthenics IV
perkCalisthenicsRank4LongDesc,progression,Perk,Increase your maximum health and stamina by 12%.
perkCalisthenicsRank5Desc,progression,Perk,Calisthenics V
perkCalisthenicsRank5LongDesc,progression,Perk,Increase your maximum health and stamina by 15%.
perkCalisthenicsRank6Desc,progression,Perk,Calisthenics VI
perkCalisthenicsRank6LongDesc,progression,Perk,Increase your maximum health and stamina by 18%.
perkCalisthenicsRank7Desc,progression,Perk,Calisthenics VII
perkCalisthenicsRank7LongDesc,progression,Perk,Increase your maximum health and stamina by 21%.
perkCalisthenicsRank8Desc,progression,Perk,Calisthenics VIII
perkCalisthenicsRank8LongDesc,progression,Perk,Increase your maximum health and stamina by 24%.
perkCalisthenicsRank9Desc,progression,Perk,Calisthenics IX
perkCalisthenicsRank9LongDesc,progression,Perk,Increase your maximum health and stamina by 27%.
perkCalisthenicsRank10Desc,progression,Perk,Master Calisthenics
perkCalisthenicsRank10LongDesc,progression,Perk,You have the features of Heracles. Increase your maximum health and stamina by 40%.
perkHammererName,progression,Perk,Hammerer
perkHammererDesc,progression,Perk,You are mastering the arts of the sledgehammer.
perkHammererRank1Desc,progression,Perk,Hammerer I
perkHammererRank1LongDesc,progression,Perk,Increase your sprinting speed by 2%.
perkHammererRank2Desc,progression,Perk,Hammerer II
perkHammererRank2LongDesc,progression,Perk,Increase your sprinting speed by 4%.
perkHammererRank3Desc,progression,Perk,Hammerer III
perkHammererRank3LongDesc,progression,Perk,Increase your sprinting speed by 6%.
perkHammererRank4Desc,progression,Perk,Hammerer IV
perkHammererRank4LongDesc,progression,Perk,Increase your sprinting speed by 8%.
perkHammererRank5Desc,progression,Perk,Hammerer V
perkHammererRank5LongDesc,progression,Perk,Increase your sprinting speed by 10%.
perkHammererRank6Desc,progression,Perk,Hammerer VI
perkHammererRank6LongDesc,progression,Perk,Increase your sprinting speed by 12%.
perkHammererRank7Desc,progression,Perk,Hammerer VII
perkHammererRank7LongDesc,progression,Perk,Increase your sprinting speed by 14%.
perkHammererRank8Desc,progression,Perk,Hammerer VIII
perkHammererRank8LongDesc,progression,Perk,Increase your sprinting speed by 16%.
perkHammererRank9Desc,progression,Perk,Hammerer IX
perkHammererRank9LongDesc,progression,Perk,Increase your sprinting speed by 18%.
perkHammererRank10Desc,progression,Perk,Master Hammerer
perkHammererRank10LongDesc,progression,Perk,Your speed equals that of Usain Bolt. Increase your sprinting speed by 25%.
perkSprinterName,progression,Perk,Sprinter
perkSprinterDesc,progression,Perk,You are mastering the art of sprinting from/to any sound you hear. Your sprinting speed increases.
perkSprinterRank1Desc,progression,Perk,Sprinter I
perkSprinterRank1LongDesc,progression,Perk,Increase your sprinting speed by 2%.
perkSprinterRank2Desc,progression,Perk,Sprinter II
perkSprinterRank2LongDesc,progression,Perk,Increase your sprinting speed by 4%.
perkSprinterRank3Desc,progression,Perk,Sprinter III
perkSprinterRank3LongDesc,progression,Perk,Increase your sprinting speed by 6%.
perkSprinterRank4Desc,progression,Perk,Sprinter IV
perkSprinterRank4LongDesc,progression,Perk,Increase your sprinting speed by 8%.
perkSprinterRank5Desc,progression,Perk,Sprinter V
perkSprinterRank5LongDesc,progression,Perk,Increase your sprinting speed by 10%.
perkSprinterRank6Desc,progression,Perk,Sprinter VI
perkSprinterRank6LongDesc,progression,Perk,Increase your sprinting speed by 12%.
perkSprinterRank7Desc,progression,Perk,Sprinter VII
perkSprinterRank7LongDesc,progression,Perk,Increase your sprinting speed by 14%.
perkSprinterRank8Desc,progression,Perk,Sprinter VIII
perkSprinterRank8LongDesc,progression,Perk,Increase your sprinting speed by 16%.
perkSprinterRank9Desc,progression,Perk,Sprinter IX
perkSprinterRank9LongDesc,progression,Perk,Increase your sprinting speed by 18%.
perkSprinterRank10Desc,progression,Perk,Master Sprinter
perkSprinterRank10LongDesc,progression,Perk,Your speed equals that of Usain Bolt. Increase your sprinting speed by 25%.
perkSprinterName,progression,Perk,Sprinter
perkSprinterDesc,progression,Perk,You are mastering the art of sprinting from/to any sound you hear. Your sprinting speed increases.
perkSprinterRank1Desc,progression,Perk,Sprinter I
perkSprinterRank1LongDesc,progression,Perk,Increase your sprinting speed by 2%.
perkSprinterRank2Desc,progression,Perk,Sprinter II
perkSprinterRank2LongDesc,progression,Perk,Increase your sprinting speed by 4%.
perkSprinterRank3Desc,progression,Perk,Sprinter III
perkSprinterRank3LongDesc,progression,Perk,Increase your sprinting speed by 6%.
perkSprinterRank4Desc,progression,Perk,Sprinter IV
perkSprinterRank4LongDesc,progression,Perk,Increase your sprinting speed by 8%.
perkSprinterRank5Desc,progression,Perk,Sprinter V
perkSprinterRank5LongDesc,progression,Perk,Increase your sprinting speed by 10%.
perkSprinterRank6Desc,progression,Perk,Sprinter VI
perkSprinterRank6LongDesc,progression,Perk,Increase your sprinting speed by 12%.
perkSprinterRank7Desc,progression,Perk,Sprinter VII
perkSprinterRank7LongDesc,progression,Perk,Increase your sprinting speed by 14%.
perkSprinterRank8Desc,progression,Perk,Sprinter VIII
perkSprinterRank8LongDesc,progression,Perk,Increase your sprinting speed by 16%.
perkSprinterRank9Desc,progression,Perk,Sprinter IX
perkSprinterRank9LongDesc,progression,Perk,Increase your sprinting speed by 18%.
perkSprinterRank10Desc,progression,Perk,Master Sprinter
perkSprinterRank10LongDesc,progression,Perk,Your speed equals that of Usain Bolt. Increase your sprinting speed by 25%.
perkSprinterRank1Desc,progression,Perk,
perkSprinterRank1LongDesc,progression,Perk,
perkSprinterRank1Desc,progression,Perk,
perkSprinterRank1LongDesc,progression,Perk,
perkSprinterRank1Desc,progression,Perk,
perkSprinterRank1LongDesc,progression,Perk,
perkSprinterRank1Desc,progression,Perk,
perkSprinterRank1LongDesc,progression,Perk,
perkSprinterRank1Desc,progression,Perk,
perkSprinterRank1LongDesc,progression,Perk,
perkSprinterRank1Desc,progression,Perk,
perkSprinterRank1LongDesc,progression,Perk,
reqASMiningToolsLevel20,progression,Perk,
reqASMiningToolsLevel20,progression,Perk,
reqASMiningToolsLevel20,progression,Perk,
reqASMiningToolsLevel20,progression,Perk,
reqASMiningToolsLevel20,progression,Perk,
reqASMiningToolsLevel20,progression,Perk,
reqASMiningToolsLevel20,progression,Perk,
reqASMiningToolsLevel20,progression,Perk,
reqASMiningToolsLevel20,progression,Perk,
reqASMiningToolsLevel20,progression,Perk,
reqASMiningToolsLevel20,progression,Perk,
reqASMiningToolsLevel20,progression,Perk,
reqASMiningToolsLevel20,progression,Perk,
reqASMiningToolsLevel20,progression,Perk,
reqASMiningToolsLevel20,progression,Perk,
reqASMiningToolsLevel20,progression,Perk,
