Key,Source,Context,Changes,english,french,japanese,german
Chair,vehicles,item,EnChanged,Wooden Chair (Useable), Chaise En Bois,"椅子 (アクセス可能)",Holzstuhl
Chair,vehicles,vehicle,EnChanged,Wooden Chair (Useable),Chaise En Bois,"椅子 (アクセス可能)",Holzstuhl
Chair2,vehicles,item,EnChanged,Black Wooden Chair (Useable),Chaise Noir En Bois,"椅子2 (アクセス可能)",Schwarzer Holzstuhl
Chair2,vehicles,vehicle,EnChanged,Black Wooden Chair (Useable),Chaise Noir En Bois,"椅子2 (アクセス可能)",Schwarzer Holzstuhl
Chair3,vehicles,item,EnChanged,Wool Chair (Useable),Chaise En Laine,"椅子3 (アクセス可能)",Wollsessel
Chair3,vehicles,vehicle,EnChanged,Wool Chair (Useable),Chaise En Laine,"椅子3 (アクセス可能)",Wollsessel
Chair4,vehicles,item,EnChanged,Lounge Chair (Useable),Chaise de Salon,"椅子4 (アクセス可能)",Ledersessel
Chair4,vehicles,vehicle,EnChanged,Lounge Chair (Useable),Chaise de Salon,"椅子4 (アクセス可能)",Ledersessel
Chair5,vehicles,item,EnChanged,Western Chair (Useable),Chaise de Western,"ロッキングチェア (アクセス可能)",Schaukelstuhl
Chair5,vehicles,vehicle,EnChanged,Western Chair (Useable),Chaise de Western,"ロッキングチェア (アクセス可能)",Schaukelstuhl
Pouf,vehicles,item,EnChanged,Pouf (Useable),Pouf,"プフ (アクセス可能)",Hocker
Pouf,vehicles,vehicle,EnChanged,Pouf (Useable),Pouf,"プフ (アクセス可能)",Hocker
Shower,vehicles,item,EnChanged,Shower (Useable),Douche,"シャワー (アクセス可能)",Dusche
Shower,vehicles,vehicle,EnChanged,Shower (Useable),Douche,"シャワー (アクセス可能)",Dusche
PC,vehicles,item,EnChanged,PC (Useable),PC,"パソコン (アクセス可能)",Bürotisch
PC,vehicles,vehicle,EnChanged,PC (Useable),PC,"パソコン (アクセス可能)",Bürotisch
Food Table,vehicles,item,EnChanged,Food Table (Useable),Table à manger,"ダイニングテーブル (アクセス可能)",Esstisch
Food Table,vehicles,vehicle,EnChanged,Food Table (Useable),Table à manger,"ダイニングテーブル (アクセス可能)",Esstisch
Bath,vehicles,item,EnChanged,Bathtub (Useable),Bain,"バスタブ (アクセス可能)",Badewanne
Bath,vehicles,vehicle,EnChanged,Bathtub (Useable),Bain,"バスタブ (アクセス可能)",Badewanne
Jacuzzi,vehicles,item,EnChanged,Jacuzzi (Useable),Jacuzzi,"ジャグジー (アクセス可能)",Jacuzzi
Jacuzzi,vehicles,vehicle,EnChanged,Jacuzzi (Useable),Jacuzzi,"ジャグジー (アクセス可能)",Jacuzzi
Toilet,vehicles,item,EnChanged,Toilet (Useable),Toilettes,"トイレ (アクセス可能)",Toilette
Toilet,vehicles,vehicle,EnChanged,Toilet (Useable),Toilettes,"トイレ (アクセス可能)",Toilette
Superior Couch,vehicles,item,EnChanged,Superior Couch (Useable),Canapé,"ソファ (アクセス可能)",3-Sitzer Sofa
Superior Couch,vehicles,vehicle,EnChanged,Superior Couch (Useable),Canapé,"ソファ (アクセス可能)",3-Sitzer Sofa
Piano,vehicles,item,EnChanged,Piano (Useable),Piano,"ピアノ (アクセス可能)",Klavier
Piano,vehicles,vehicle,EnChanged,Piano (Useable),Piano,"ピアノ (アクセス可能)",Klavier
Bed,vehicles,item,EnChanged,Bed (Useable),Lit,"ベッド (アクセス可能)",Bett
Bed,vehicles,vehicle,EnChanged,Bed (Useable),Lit,"ベッド (アクセス可能)",Bett
Hammock,vehicles,item,EnChanged,Hammock (Useable),Hamac,"ハンモック (アクセス可能)",Hängematte
Hammock,vehicles,vehicle,EnChanged,Hammock (Useable),Hamac,"ハンモック (アクセス可能)",Hängematte
Recliner Chair,vehicles,item,EnChanged,Recliner Chair (Useable),Chaise inclinable,"リクライニングチェア (アクセス可能)",Liegesessel
Recliner Chair,vehicles,vehicle,EnChanged,Recliner Chair (Useable),Chaise inclinable,"リクライニングチェア (アクセス可能)",Liegesessel
"Bed Frame",blocks,Block,KeyChanged EnChanged,Bed Structure,Structure de lit,"ベッドフレーム",Bettgestell
"Bed Frame ",blocks,Block,KeyChanged EnChanged,Bed Structure,Structure de lit,"ベッドフレーム",Bettgestell
Trone,vehicles,item,EnChanged,Throne (Useable),Trone,"玉座 (アクセス可能)",Eiserner Thron
Trone,vehicles,vehicle,EnChanged,Throne (Useable),Trone,"玉座 (アクセス可能)",Eiserner Thron
Ballchair,vehicles,item,EnChanged,Ball Chair (Useable),Chaise oeuf,"ボールチェア (アクセス可能)",Ball Sessel
