Key,Source,Context,UsedInMainMenu,NoTranslate,english
smittySpeaker1,blocks,Electricity,,,Speaker - Ship Siren
smittySpeaker1Desc,blocks,Electricity,,,Makes an alarm sound when powered on.
smittySpeaker2,blocks,Electricity,,,Speaker - Warning Alarm 1
smittySpeaker2Desc,blocks,Electricity,,,Makes an alarm sound when powered on.
smittySpeaker3,blocks,Electricity,,,Speaker - Warning Alarm 2
smittySpeaker3Desc,blocks,Electricity,,,Makes an alarm sound when powered on.
smittySpeaker4,blocks,Electricity,,,Speaker - Warning Alarm 3
smittySpeaker4Desc,blocks,Electricity,,,Makes an alarm sound when powered on.
smittySpeaker5,blocks,Electricity,,,Speaker - Warning Alarm 4
smittySpeaker5Desc,blocks,Electricity,,,Makes an alarm sound when powered on.
smittySpeaker6,blocks,Electricity,,,Speaker - Warning Alarm 5
smittySpeaker6Desc,blocks,Electricity,,,Makes an alarm sound when powered on.
smittySpeaker7,blocks,Electricity,,,Speaker - Security Breach Voice
smittySpeaker7Desc,blocks,Electricity,,,Makes an alarm sound when powered on.
smittySpeaker8,blocks,Electricity,,,Speaker - Sci Fi 1
smittySpeaker8Desc,blocks,Electricity,,,Makes an alarm sound when powered on.
smittySpeaker9,blocks,Electricity,,,Speaker - Red Alert
smittySpeaker9Desc,blocks,Electricity,,,Makes an alarm sound when powered on.
smittySpeaker10,blocks,Electricity,,,Speaker - Security Breach
smittySpeaker10Desc,blocks,Electricity,,,Makes an alarm sound when powered on.
smittySpeaker11,blocks,Electricity,,,Speaker - Intruder Voice
smittySpeaker11Desc,blocks,Electricity,,,Makes an alarm sound when powered on.
smittySpeaker12,blocks,Electricity,,,Speaker - Emergency Voice and Alarm
smittySpeaker12Desc,blocks,Electricity,,,Makes an alarm sound when powered on.
smittySpeaker13,blocks,Electricity,,,Speaker - Emergency Voice
smittySpeaker13Desc,blocks,Electricity,,,Makes an alarm sound when powered on.
smittySpeaker14,blocks,Electricity,,,Speaker - All Hands On Deck Voice
smittySpeaker14Desc,blocks,Electricity,,,Makes an alarm sound when powered on.
smittySpeaker15,blocks,Electricity,,,Speaker - Alarm Siren 1
smittySpeaker15Desc,blocks,Electricity,,,Makes an alarm sound when powered on.
smittySpeaker16,blocks,Electricity,,,Speaker - Alarm Siren 2
smittySpeaker16Desc,blocks,Electricity,,,Makes an alarm sound when powered on.
smittySpeaker17,blocks,Electricity,,,Speaker - Alarm Fire
smittySpeaker17Desc,blocks,Electricity,,,Makes an alarm sound when powered on.
smittySpeaker18,blocks,Electricity,,,Speaker - Sci Fi 2
smittySpeaker18Desc,blocks,Electricity,,,Makes an alarm sound when powered on.
smittySpeaker19,blocks,Electricity,,,Speaker - Sci Fi 3
smittySpeaker19Desc,blocks,Electricity,,,Makes an alarm sound when powered on.
