Key,Source,Context,Changes,English
AC_MiningMachine,blocks,Container,KgNone,Excavator (Empty)
AC_MiningMachine1,blocks,Container,KgNone,Excavator (Empty)
AC_MiningMachine2,blocks,Container,KgNone,Excavator (Finding Veins)
AC_MiningMachine3,blocks,Container,KgNone,Excavator (Starting Drill)
AC_MiningMachine4,blocks,Container,KgNone,Excavator (25% Full)
AC_MiningMachine5,blocks,Container,KgNone,Excavator (50% Full)
AC_MiningMachine6,blocks,Container,KgNone,Excavator (75% Full)
AC_MiningMachineRHSchematic,blocks,Container,KgNone,Excavator Recipe

AC_MiningMachineDesc,blocks,Container,KgNone,Place this excavator on wide open terrain. After placing it will go through 6 phases at it looks for underground veins to mine and drills for ore. When the drill is done you will be able to loot it and it will begin drilling again.
AC_MiningMachineFull,blocks,Container,KgNone,Excavator Full
AC_MiningMachineFullDesc,blocks,Container,KgNone,Excavator has found all the ore it can find.
