Key,File,Type,english
animalFox,entityclasses,Entity,Fox
animalRobin,entityclasses,Entity,Robin
animalCrow,entityclasses,Entity,Crow
animalEagle,entityclasses,Entity,Eagle
animalAlcatraz,entityclasses,Entity,Alcatraz
animalBloatfly,entityclasses,Entity,Bloatfly
animalGuppyInsect,entityclasses,Entity,Giant Bee
animalPug,entityclasses,Entity,Pug
animalBeagle,entityclasses,Entity,Beagle
animalBat,entityclasses,Entity,Bat
animalBats,entityclasses,Entity,Bats
animalGoat,entityclasses,Entity,Goat
animalWolfhound,entityclasses,Entity,Hound
animalWulf,entityclasses,Entity,White Wolf
animalBanditWolf,entityclasses,Entity,Bandit Wolf
animalSpider01,entityclasses,Entity,Young Spider
animalSpider02,entityclasses,Entity,Spider
animalSpider03,entityclasses,Entity,Hunter Spider
animalSnowSwarm_X,entityclasses,Entity,Snow Swarm
animalSnowTornado_X,entityclasses,Entity,Snow Tornado
animalBloodFlySwarm_X,entityclasses,Entity,Blood Swarm
buffSnowSwarm,buffs,Buff,New,"You are inside a snow storm, take cover or you may get frost bite!"
buffFrostbiteDesc,buffs,Buff,New,"Minor frostbite will reduce your stamina, stay out of snow storms to avoid a severe case of frostbite."
buffFrostbiteTooltip,buffs,Buff,New,You have minor frostbite.
buffFrostbite2Desc,buffs,Buff,New,You have severe frostbite!
buffFrostbite2Tooltip,buffs,Buff,New,"You have severe frostbite, you health gain is reduced by 50%!"
FoodChangeOT,ui_display,Buff,New,Food Loss Over-Time
FoodLossPerStaminaPointGained,ui_display,Buff,New,Food Loss Per Stamina Gain
junkTurretSledge,entityclasses,Entity,Sledge Turret
junkTurretGun,entityclasses,Entity,Turret
animalMountainLion,entityclasses,Entity,Mountain Lion
animalZombieDog,entityclasses,Entity,Infected Dog
animalCoyote,entityclasses,Entity,Coyote
animalWolf,entityclasses,Entity,Wolf
animalDireWolf,entityclasses,Entity,Dire Wolf
animalSnake,entityclasses,Entity,Snake
animalBear,entityclasses,Entity,Wild Bear
animalZombieBear,entityclasses,Entity,Infected Bear
animalBoar,entityclasses,Entity,Wild Boar
animalBossGrace,entityclasses,Entity,Radiated Boar
animalZombieVulture,entityclasses,Entity,Infected Vulture
animalZombieVultureRadiated,entityclasses,Entity,Radiated Vulture
zombieJanitor,entityclasses,Entity,Infected Janitor
zombieJanitorFeral,entityclasses,Entity,Feral Janitor
zombieJanitorRadiated,entityclasses,Entity,Radiated Janitor
zombieArleneRadiated,entityclasses,Entity,Radiated Putrid Girl
zombieBiker,entityclasses,Entity,Infected Biker
zombieBikerFeral,entityclasses,Entity,Feral Biker
zombieBikerRadiated,entityclasses,Entity,Radiated Biker
zombieSkateboarder,entityclasses,Entity,Infected Skater Punk
zombieSkateboarderFeral,entityclasses,Entity,Feral Skater
zombieSkateboarderRadiated,entityclasses,Entity,Radiated Punk
zombieBoeRadiated,entityclasses,Entity,Radiated Infected Survivor
zombieCheerleader,entityclasses,Entity,Infected Cheerleader
zombieCheerleaderFeral,entityclasses,Entity,Feral Cheerleader
zombieCheerleaderRadiated,entityclasses,Entity,Radiated Cheerleader
zombieDarleneRadiated,entityclasses,Entity,Radiated Decayed Mother
zombieFemaleFatRadiated,entityclasses,Entity,Radiated Hungry Zombie
