Key,Source,Context,English

qc_FuriousRamsayChallengeDesc,items,Quest - Challenge,A Challenge from the Trader's Network

cntVendingMachineTrader,blocks,Container,Trader Network Challenges

FuriousRamsayTrainerTier1,entityclasses,Entity,Horde Trainer
FuriousRamsayTrainerTier2,entityclasses,Entity,Horde Trainer
FuriousRamsayTrainerTier3,entityclasses,Entity,Horde Trainer
FuriousRamsayTrainerTier4,entityclasses,Entity,Horde Trainer
FuriousRamsayTrainerTier5,entityclasses,Entity,Horde Trainer

zombieArleneTrainer,entityclasses,Entity,Putrid Girl
zombieBikerTrainer,entityclasses,Entity,Zombie Biker
zombieBoeTrainer,entityclasses,Entity,Infected Survivor
zombieBusinessManTrainer,entityclasses,Entity,Zombie Businessman
zombieCheerleaderTrainer,entityclasses,Entity,Cheerleader Zombie
zombieDarleneTrainer,entityclasses,Entity,Decayed Mother
zombieFarmerTrainer,entityclasses,Entity,Zombie Farmer
zombieFatCopTrainer,entityclasses,Entity,Infected Policeman
zombieFatHawaiianTrainer,entityclasses,Entity,Disturbed Tourist
zombieFemaleFatTrainer,entityclasses,Entity,Hungry Zombie
zombieJoeTrainer,entityclasses,Entity,Festering Cadaver
zombieMarleneTrainer,entityclasses,Entity,Departed Woman
zombieMoeTrainer,entityclasses,Entity,Bloated Walker
zombieNurseTrainer,entityclasses,Entity,Plagued Nurse
zombieOldTimerTrainer,entityclasses,Entity,Zombie Cowboy
zombieSkateboarderTrainer,entityclasses,Entity,Skater Punk Zombie
zombieSnowTrainer,entityclasses,Entity,Frozen Lumberjack
zombieSoldierTrainer,entityclasses,Entity,Fallen Soldier
zombieSpiderTrainer,entityclasses,Entity,Spider Zombie
zombieSteveTrainer,entityclasses,Entity,Reanimated Corpse
zombieSteveCrawlerTrainer,entityclasses,Entity,Crawler
zombieStripperTrainer,entityclasses,Entity,Zombie Stripper
zombieUtilityWorkerTrainer,entityclasses,Entity,Utility Worker Zombie
zombieYoTrainer,entityclasses,Entity,Rotting Carcass
zombieJanitor,entityclasses,Entity,Zombie Janitor

qc_FuriousRamsayHordeTrainingTier1,items,Challenge,Horde Training (Tier 1)
qc_FuriousRamsayHordeTrainingTier2,items,Challenge,Horde Training (Tier 2)
qc_FuriousRamsayHordeTrainingTier3,items,Challenge,Horde Training (Tier 3)
qc_FuriousRamsayHordeTrainingTier4,items,Challenge,Horde Training (Tier 4)
qc_FuriousRamsayHordeTrainingTier5,items,Challenge,Horde Training (Tier 5)

qc_FuriousRamsayHuntTier1,items,Challenge,The Hunt (Tier 1)
qc_FuriousRamsayHuntTier2,items,Challenge,The Hunt (Tier 2)
qc_FuriousRamsayHuntTier3,items,Challenge,The Hunt (Tier 3)
qc_FuriousRamsayHuntTier4,items,Challenge,The Hunt (Tier 4)
qc_FuriousRamsayHuntTier5,items,Challenge,The Hunt (Tier 5)

qc_FuriousRamsayTier1_minihorde,items,Challenge,Mini Horde (Tier 1)
qc_FuriousRamsayTier2_minihorde,items,Challenge,Mini Horde (Tier 2)
qc_FuriousRamsayTier3_minihorde,items,Challenge,Mini Horde (Tier 3)
qc_FuriousRamsayTier4_minihorde,items,Challenge,Mini Horde (Tier 4)
qc_FuriousRamsayTier5_minihorde,items,Challenge,Mini Horde (Tier 5)

